CBB_Ref,Type,Section,Requirement_Summary_EN,Requirement_Summary_AR,ISO_27001_2022,NIST_CSF_2_0,Mapping_Strength,Phase,Mapping_Notes
OM-5.5.50,Rule,Recovery,"Exercise programme covering attack simulations, war games and tabletop exercises with technical staff, crisis team, decision-makers and spokespersons",برنامج تمارين يشمل محاكاة الهجمات وألعاب الحرب والتمارين النظرية لجميع الأطراف المعنية,A.5.30,ID.IM,direct,4,"Three exercise types named; audience includes decision-makers and spokespersons, not only technical staff"
OM-5.5.51,Rule,Recovery,"Mechanisms for accurate, timely, actionable communication of response and recovery activities to internal stakeholders including the Board",آليات تواصل دقيقة وفي حينها لأنشطة الاستجابة والتعافي مع الأطراف الداخلية والمجلس,A.5.24,RS.CO; RC.CO,direct,4,The Board is an explicit communication endpoint during response and recovery
OM-5.5.52,Rule,Recovery,"Business continuity plan must be comprehensive and include a recovery plan for systems, operations and services after a cyber incident",خطة استمرارية الأعمال يجب أن تشمل خطة تعافٍ للأنظمة والعمليات والخدمات بعد الحوادث السيبرانية,A.5.29; A.5.30,RC.RP,direct,4,"Cyber recovery must live inside the BCP, not alongside it"
OM-5.5.53,Rule,Cyber Security Insurance,"Mandatory cyber risk insurance from a suitable insurer following a risk-based assessment independently verified by the insurer; coverage may include crisis management, claims and first-party losses",تأمين إلزامي ضد المخاطر السيبرانية من شركة مناسبة بعد تقييم مخاطر يتم التحقق منه بشكل مستقل,Cl. 6.1.3,GV.RM,none,4,No Annex A control exists for insurance — ISO treats risk transfer as an optional treatment; CBB makes it mandatory. Key gap-analysis insight
OM-5.5.54,Rule,Training & Awareness,Evaluate improvement in awareness and preparedness to verify effectiveness of training programmes,تقييم تحسن الوعي والجاهزية للتحقق من فعالية برامج التدريب,A.6.3; Cl. 9.1,PR.AT,direct,Cont.,"Effectiveness must be measured, not merely delivered — pairs with Appendix C's annual programme refresh"
OM-5.5.55,Rule,Training & Awareness,Regular training for all employees including simulated cyber attack testing; staff informed of current breaches and threats; extra training for higher-risk staff,تدريب دوري لجميع الموظفين يشمل محاكاة الهجمات وإبلاغهم بالتهديدات الحالية مع تدريب إضافي للفئات الأعلى خطورة,A.6.3,PR.AT,direct,Cont.,Simulated-attack testing (e.g. phishing simulations) is the expected mechanism
OM-5.5.56,Rule,Training & Awareness,"Role-specific training on a regular basis for executive board and senior management, cyber security roles, IT staff and high-risk staff",تدريب مخصص حسب الدور للمجلس والإدارة العليا وأدوار الأمن السيبراني وموظفي التقنية والفئات عالية الخطورة,A.6.3,PR.AT,direct,Cont.,The Board itself is a mandated training audience
OM-5.5.57,Rule,Regulatory Reporting,On any incident compromising customer information or disrupting critical services: call CBB within one hour and submit Incident Report Section A within two hours to the designated incident email,عند أي حادث يمس معلومات العملاء أو الخدمات الحرجة: الاتصال بالمصرف المركزي خلال ساعة وتقديم القسم أ من التقرير خلال ساعتين,A.5.5,RS.CO,partial,4,1-hour / 2-hour SLAs are CBB-specific — far stricter than ISO or most peer regulators
OM-5.5.58,Rule,Regulatory Reporting,"Section B within 10 calendar days including full root cause analysis, impact and remediation; weekly progress updates to CBB until fully resolved",تقديم القسم ب خلال عشرة أيام مع تحليل السبب الجذري والأثر والمعالجة وتحديثات أسبوعية حتى الإغلاق,A.5.5; A.5.27,RS.CO; RS.AN,partial,4,"Ten-day full RCA plus weekly updates until closure — a sustained reporting duty, not a one-off filing"
OM-5.5.59,Guidance,Regulatory Reporting,Submit the report with as much information as possible even if details are incomplete,تقديم التقرير بأكبر قدر من المعلومات حتى لو لم تكتمل التفاصيل,A.5.5,RS.CO,direct,4,Partial information does not excuse delay — submit and supplement
OM-5.5.60,Guidance,Regulatory Reporting,"Comprehensive report contents: discovery timeline, detection-to-restoration time, discoverer, incident type, impact and stakeholders, affected systems and technical details (IoCs, TTPs), root cause analysis, actions and lessons learnt",محتوى التقرير الشامل: التسلسل الزمني ونوع الحادث والأثر والأنظمة المتأثرة والتفاصيل الفنية وتحليل السبب الجذري والدروس المستفادة,A.5.27; A.5.28,RS.AN; RS.CO,direct,4,Contents list maps one-to-one onto Incident Report Section B; IoCs and TTPs expected
OM-5.5.61,Rule,Regulatory Reporting,Penetration testing reports and mitigation steps retained for five years and submitted to CBB within two months of the end of the testing month,الاحتفاظ بتقارير اختبار الاختراق وخطوات المعالجة خمس سنوات وتقديمها للمصرف المركزي خلال شهرين من نهاية شهر الاختبار,A.5.5; A.5.33,GV.OV,partial,4,Bahrain-specific retention and submission deadlines
